<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26222RMFS8,D,02/08/21,000000,101.617,101.617,101.157,101.164,172.607
SU26222RMFS8,D,03/08/21,000000,101.101,101.403,101.101,101.19,3.351
SU26222RMFS8,D,04/08/21,000000,101.112,101.37,100.902,100.902,156.564
SU26222RMFS8,D,05/08/21,000000,101.294,101.299,101.101,101.101,5.707
SU26222RMFS8,D,06/08/21,000000,101.296,101.299,101.054,101.054,54.085
SU26222RMFS8,D,09/08/21,000000,101.297,101.297,100.927,101.02,113.411
SU26222RMFS8,D,10/08/21,000000,101.197,101.197,100.871,100.871,66.653
SU26222RMFS8,D,11/08/21,000000,100.863,101.111,100.863,100.9,43.787
SU26222RMFS8,D,12/08/21,000000,100.86,101.174,100.855,100.857,24.464
SU26222RMFS8,D,13/08/21,000000,101.144,101.144,100.761,101,599.827
SU26222RMFS8,D,16/08/21,000000,100.754,101.139,100.754,100.967,24.540
SU26222RMFS8,D,17/08/21,000000,101.278,101.278,100.971,101.022,21.314
SU26222RMFS8,D,18/08/21,000000,101.176,101.176,100.975,101.002,23.368
SU26222RMFS8,D,19/08/21,000000,101.299,101.299,101,101.002,105.685
SU26222RMFS8,D,20/08/21,000000,101.494,101.494,100.92,101.017,13.236
SU26222RMFS8,D,23/08/21,000000,101.498,101.498,101.03,101.035,39.847
SU26222RMFS8,D,24/08/21,000000,101.486,101.487,100.99,101.013,511.326
SU26222RMFS8,D,25/08/21,000000,100.925,101.101,100.925,101.032,2.005.406
SU26222RMFS8,D,26/08/21,000000,101.227,101.227,100.89,100.89,385.531
SU26222RMFS8,D,27/08/21,000000,100.801,101.482,100.801,100.906,225.558
SU26222RMFS8,D,30/08/21,000000,101.438,101.439,100.813,101.014,69.542
SU26222RMFS8,D,31/08/21,000000,100.802,101.19,100.802,101.04,112.529
SU26222RMFS8,D,01/09/21,000000,101.387,101.5,100.961,100.978,557.632
SU26222RMFS8,D,02/09/21,000000,101.091,101.091,100.781,100.811,270.644
SU26222RMFS8,D,03/09/21,000000,101.376,101.376,100.811,100.833,210.071
SU26222RMFS8,D,06/09/21,000000,101.44,101.496,100.8,100.8,268.500
SU26222RMFS8,D,07/09/21,000000,100.814,101.34,100.702,100.705,11.341
SU26222RMFS8,D,08/09/21,000000,101.291,101.291,100.684,100.684,5.025
SU26222RMFS8,D,09/09/21,000000,100.687,100.819,100.6,100.612,49.776
SU26222RMFS8,D,10/09/21,000000,101.235,101.235,100.6,100.6,79.834
SU26222RMFS8,D,13/09/21,000000,100.757,100.8,100.506,100.655,110.795
SU26222RMFS8,D,14/09/21,000000,101.165,101.165,100.583,100.604,5.323
SU26222RMFS8,D,15/09/21,000000,100.69,100.839,100.571,100.615,3.923
SU26222RMFS8,D,16/09/21,000000,101.14,101.14,100.515,100.551,80.011
SU26222RMFS8,D,17/09/21,000000,101.001,101.001,100.475,100.475,612.647
SU26222RMFS8,D,20/09/21,000000,100.959,100.959,100.3,100.303,37.321
SU26222RMFS8,D,21/09/21,000000,100.44,100.74,100.273,100.419,162.876
SU26222RMFS8,D,22/09/21,000000,100.912,100.912,100.204,100.29,56.353
SU26222RMFS8,D,23/09/21,000000,100.836,100.836,100.18,100.2,347.838
