<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26230RMFS1,D,12/10/21,000000,101.905,101.999,99.376,101.318,173.485
SU26230RMFS1,D,13/10/21,000000,101.498,102.493,101.316,102.493,52.887
SU26230RMFS1,D,14/10/21,000000,101.665,102.65,101.665,102.64,398.169
SU26230RMFS1,D,15/10/21,000000,101.903,102.839,101.658,102.298,291.937
SU26230RMFS1,D,18/10/21,000000,102.298,102.497,101.322,101.73,240.023
SU26230RMFS1,D,19/10/21,000000,101.508,102.024,101.5,101.7,441.352
SU26230RMFS1,D,20/10/21,000000,101.798,101.828,101.202,101.604,95.742
SU26230RMFS1,D,21/10/21,000000,101.209,101.664,100.651,100.805,114.966
SU26230RMFS1,D,22/10/21,000000,101.481,101.481,99.444,100.038,398.516
SU26230RMFS1,D,25/10/21,000000,99.524,100.048,98.502,98.827,295.193
SU26230RMFS1,D,26/10/21,000000,98.824,98.825,97.5,98.621,872.180
SU26230RMFS1,D,27/10/21,000000,98.995,99.079,98.229,98.5,204.627
SU26230RMFS1,D,28/10/21,000000,98.403,98.747,97.11,97.564,258.711
SU26230RMFS1,D,29/10/21,000000,97.377,98.239,97.162,97.403,316.752
SU26230RMFS1,D,01/11/21,000000,98.235,98.396,96.05,96.275,1.257.015
SU26230RMFS1,D,02/11/21,000000,96.275,97.38,95.803,96.355,582.125
SU26230RMFS1,D,03/11/21,000000,96.709,96.97,96.002,96.59,45.790
SU26230RMFS1,D,05/11/21,000000,96.96,96.965,96.38,96.505,18.356
SU26230RMFS1,D,08/11/21,000000,96.365,97.58,96.365,97.499,57.194
SU26230RMFS1,D,09/11/21,000000,97.237,98.5,97.235,98.398,105.916
SU26230RMFS1,D,10/11/21,000000,98.123,99.349,98.123,99.136,1.154.249
SU26230RMFS1,D,11/11/21,000000,99.3,99.3,98.32,98.67,616.264
SU26230RMFS1,D,12/11/21,000000,98.678,99.269,96.55,97.635,532.140
SU26230RMFS1,D,15/11/21,000000,97.999,98.25,97.001,97.102,87.289
SU26230RMFS1,D,16/11/21,000000,97.183,97.398,96.5,96.752,1.068.255
SU26230RMFS1,D,17/11/21,000000,97.991,97.992,96.516,97.229,123.765
SU26230RMFS1,D,18/11/21,000000,97.005,97.384,96.203,96.643,183.901
SU26230RMFS1,D,19/11/21,000000,96.787,97,96.003,96.313,779.009
SU26230RMFS1,D,22/11/21,000000,96.317,96.327,94.34,94.547,260.754
SU26230RMFS1,D,23/11/21,000000,94.313,95.321,94,95.32,293.610
SU26230RMFS1,D,24/11/21,000000,94.356,95.5,94.063,95.332,157.455
SU26230RMFS1,D,25/11/21,000000,95.994,96.051,95.002,95.921,319.608
SU26230RMFS1,D,26/11/21,000000,96,96.21,94.75,95.742,83.033
SU26230RMFS1,D,29/11/21,000000,96.445,96.85,95.201,96.247,211.345
SU26230RMFS1,D,30/11/21,000000,96.503,96.601,95.76,96.265,481.604
SU26230RMFS1,D,01/12/21,000000,96.198,96.325,95,95.24,767.008
SU26230RMFS1,D,02/12/21,000000,95.24,96.199,94.64,95.685,1.376.762
SU26230RMFS1,D,03/12/21,000000,95.8,95.922,94.95,95.438,90.744
SU26230RMFS1,D,06/12/21,000000,95.438,95.567,94.43,94.729,439.884
